name,stems,branches,overall_width,overall_height,overall_depth,overall_volume,total_length,br_length_mean,br_length_std,br_length_min,br_length_max,br_order_mean,br_order_std,br_order_min,br_order_max,br_tortuosity_mean,br_tortuosity_std,br_tortuosity_min,br_tortuosity_max,bif_EucDist2soma_mean,bif_EucDist2soma_std,bif_EucDist2soma_min,bif_EucDist2soma_max,bif_PathDist2soma_mean,bif_PathDist2soma_std,bif_PathDist2soma_min,bif_PathDist2soma_max,asymmetry_mean,asymmetry_std,asymmetry_min,asymmetry_max,ampl_local_mean,ampl_local_std,ampl_local_min,ampl_local_max,ampl_remote_mean,ampl_remote_std,ampl_remote_min,ampl_remote_max,tilt_local_mean,tilt_local_std,tilt_local_min,tilt_local_max,tilt_remote_mean,tilt_remote_std,tilt_remote_min,tilt_remote_max,soma_region
18455_00023,7.0,699.0,4078.37,3331.43,2695.25,36619800000.0,96022.5,137.371,198.802,1.17652,1815.17,11.4006,5.25698,1.0,25.0,0.114796,0.0846041,7.37494e-06,0.701546,2155.02,1232.12,0.0,4382.01,5392.87,3167.05,13.9251,10230.9,0.734104,0.442449,0.0,1.0,70.3689,27.2637,3.87864,165.372,61.6287,28.9422,5.40405,153.468,121.958,23.4551,14.0031,173.422,121.401,25.7188,0.257807,168.939,PO
pre_18864_00036,9.0,631.0,4881.38,3841.62,7779.06,145876000000.0,95927.9,152.025,330.945,0.559273,4072.65,12.3344,7.85993,1.0,31.0,0.122824,0.0864382,0.0,0.625016,1374.1,1869.84,0.0,5144.69,2413.31,3244.51,11.6644,10418.8,0.717042,0.451162,0.0,1.0,70.0608,31.3324,2.57925,167.196,68.0117,33.7988,4.26067,167.069,119.672,27.2641,18.3326,173.866,116.996,29.7525,19.5183,175.615,MOp
18457_00097,6.0,488.0,2543.67,2839.1,1225.25,8848430000.0,37708.7,77.272,161.607,0.758345,2716.5,16.4795,9.46471,1.0,39.0,0.125024,0.0935484,0.0,0.517118,2549.0,1163.54,0.0,3365.69,5105.81,2377.93,13.3451,7538.84,0.721992,0.44895,0.0,1.0,79.1145,37.7067,1.69495,175.857,70.7522,33.2934,2.22426,177.621,112.562,33.2709,4.08133,172.363,118.256,30.5809,4.73513,178.174,VPL
18453_3350_x8925_y9653,7.0,421.0,1011.17,1307.62,1500.73,1984310000.0,55686.8,132.273,149.489,1.16163,1065.51,10.2779,5.61089,1.0,25.0,0.130792,0.0921384,1.15517e-05,0.58022,277.679,184.222,0.0,722.724,974.5,952.755,12.1772,4246.4,0.7343,0.442776,0.0,1.0,80.1623,29.0548,1.26225,153.24,74.8456,32.3391,9.42754,157.57,113.775,26.04,1.33434,168.16,108.883,29.262,24.9647,168.156,SSp-m
pre_18864_00026,6.0,612.0,3040.17,4359.78,5294.19,70171700000.0,93975.0,153.554,246.569,0.929979,2821.85,15.0686,7.93665,1.0,32.0,0.123307,0.0865482,0.0,0.555631,504.1,709.042,0.0,5777.09,1210.15,1334.27,6.46218,9367.53,0.719472,0.45,0.0,1.0,76.7656,34.828,1.08766,164.042,68.7222,32.519,2.71794,171.609,114.346,30.3696,3.15,170.292,113.681,30.3272,9.10641,170.41,MOp
18457_00087,4.0,374.0,3935.55,1414.66,760.39,4233440000.0,20919.2,55.9336,131.858,0.65847,1701.54,16.861,11.0073,1.0,43.0,0.130308,0.131368,0.0,0.8115,1502.06,1451.84,0.0,3730.33,2789.31,2396.2,7.41522,6465.89,0.762162,0.426915,0.0,1.0,78.4849,34.916,8.90997,160.626,77.2354,39.1254,11.1969,171.46,111.034,33.107,6.7897,167.276,107.137,34.8135,24.3231,164.269,CP
17545_00150,6.0,540.0,1931.83,1521.9,1262.03,3710430000.0,30268.3,56.0524,84.3122,0.352602,1220.03,14.1222,5.0087,1.0,26.0,0.171167,0.113606,0.0,0.660217,428.692,436.888,0.0,1673.81,855.322,581.261,9.74899,2521.99,0.764045,0.425392,0.0,1.0,79.2518,33.2177,1.23662,174.241,82.1993,35.3761,9.06248,167.175,104.945,31.6693,12.4129,162.72,99.1223,33.1032,19.8143,164.889,CP
18869_4953_x22613_y6076,8.0,594.0,5492.78,5659.18,4814.68,149663000000.0,93116.1,156.761,303.381,1.26021,3866.9,12.8182,6.32407,1.0,27.0,0.107121,0.0835725,7.43653e-06,0.70136,1907.44,1696.64,0.0,5537.36,3709.6,3294.43,17.8053,11322.5,0.730375,0.444524,0.0,1.0,77.3641,32.021,6.57859,174.56,70.2348,33.6384,1.55542,174.56,114.734,29.3978,2.96246,170.138,115.3,30.1602,6.00621,167.417,SSp-n
18463_00046,4.0,470.0,4436.29,1915.1,1085.22,9219960000.0,59740.3,127.107,217.963,0.897359,3624.53,20.8511,12.1977,1.0,49.0,0.109879,0.0997662,0.0,0.593422,2877.69,1751.03,0.0,4425.41,5908.54,3557.82,11.6114,10628.2,0.751073,0.433322,0.0,1.0,75.3164,37.206,6.32142,173.689,68.434,36.558,5.04655,179.316,114.633,33.5001,3.21193,175.281,111.818,35.2685,6.51129,169.633,SMT
15257_3271_x15413_y13333,8.0,340.0,3523.02,2783.18,2811.42,27566500000.0,55639.0,163.644,225.356,1.46384,1880.98,10.0529,5.03353,1.0,21.0,0.148802,0.107998,1.38843e-05,0.851763,1921.12,1645.64,0.0,4075.42,3326.84,2806.87,8.84139,7642.06,0.753012,0.432565,0.0,1.0,70.0743,32.558,0.0454251,169.482,67.5292,33.2582,8.57322,155.603,115.731,29.885,11.4386,163.636,116.561,27.7618,29.3801,164.923,MOp
17545_00028,4.0,466.0,325.46,1002.87,945.78,308697000.0,18863.5,40.4797,43.1342,0.982684,270.898,19.0,10.539,1.0,37.0,0.174496,0.120736,0.0,0.750357,421.402,263.135,0.0,1133.54,1115.82,639.025,13.1082,2285.48,0.722944,0.448516,0.0,1.0,83.1649,39.9821,0.303399,173.868,86.3738,39.5707,4.50678,176.47,102.68,34.6634,1.8358,172.2,98.269,34.3561,6.44862,170.243,CP
17787_00050,5.0,505.0,4342.64,950.6,1614.86,6666330000.0,29021.7,57.4688,130.586,0.907783,2041.28,16.7901,8.94025,1.0,33.0,0.145785,0.115158,0.0,0.64304,2487.42,1784.34,0.0,4322.01,3440.23,2392.91,9.4459,6137.83,0.784,0.41234,0.0,1.0,85.3792,34.6709,3.31758,170.688,84.0327,37.2481,9.13331,176.911,105.322,30.6421,26.1989,167.539,100.42,34.8852,11.5628,164.227,CP
17545_00140,6.0,154.0,3997.35,1175.82,1651.6,7762790000.0,11459.7,74.4139,236.41,0.573718,2330.15,9.53247,6.14548,1.0,20.0,0.132504,0.120683,0.0,0.717693,2288.58,1900.37,0.0,4087.43,2974.31,2382.06,16.3456,5358.88,0.783784,0.414473,0.0,1.0,85.0281,39.3265,11.937,170.808,81.8007,39.7902,11.5445,169.475,106.144,39.2736,4.54294,168.137,107.849,36.7304,16.0095,151.66,CP
18463_00056,5.0,825.0,1691.9,3165.05,1685.29,9024650000.0,69161.0,83.8315,196.538,0.6561,5226.33,30.9588,16.3222,1.0,52.0,0.0881312,0.0720061,0.0,0.61343,2294.78,881.978,0.0,2961.75,6090.62,2505.77,19.3385,8880.37,0.714634,0.45214,0.0,1.0,72.0942,34.5209,1.60532,163.615,67.1891,32.2589,2.25085,171.593,114.783,29.8992,8.71107,166.952,118.14,29.3649,8.78787,169.086,VPL
