name,soma_region
pre_18464_00163,CP
pre_18469_00001,SSp-ll
17545_00057,VPM
18864_5030_x9347_y31359,SSs
18463_00039,VPM
191812_5586_x4875_y23378,SSp-bfd
18864_5444_x7352_y31475,SSs
17545_00047,CP
18463_00029,VPM
18867_4801_x7068_y12938,SSs
17545_00025,CP
pre_18864_00153,MOp
pre_18458_00150,error
18455_00220,CP
18453_4540_x32498_y9442,SSp-n
pre_18864_00225,VISC
18455_00146,VPM
pre_18864_00460,SSp-tr
18868_4317_x23980_y6346,SSp-ll
18464_00075,VPM
18868_4883_x27078_y6285,SSp-bfd
18465_00079,VPM
17781_6881_x22248_y12698,TR
18465_00111,LGd
17302_00079,MG
18867_4605_x30309_y8068,SSp-n
17302_00101,CP
18868_4430_x9829_y7185,SSp-ul
18454_00022,CP
17300_5969_x27278_y20820,VISp
18457_00033,CP
18462_00057,VPM
18047_00047,ORBm
18457_00023,VPM
18453_5459_x9646_y5477,SSp-bfd
pre_18864_00082,SSp-m
18868_3871_x26350_y7564,SSp-ul
18452_4272_x26686_y20064,PIR
18457_00015,CP
18465_00241,VPM
18457_00005,CP
18462_00061,VPM
18869_4727_x9851_y8415,RT
18465_00127,VPM
18454_00004,CP
18453_5325_x32314_y8395,SSs
18464_00192,LP
18454_00014,CP
18455_00008,CP
17781_7132_x8998_y15272,SUB
18864_1871_x3272_y21319,MOs
18455_00018,LGd
18869_3480_x6168_y6983,SSp-m
18867_6091_x30186_y6043,SSp-bfd
17545_00003,VAL
18458_00374,VM
191812_4446_x6677_y24393,SSp-n
18454_01094,VPM
18455_00206,VPM
18458_00459,MG
191801_4724_x4226_y10240,MOp
17543_3471_x12087_y3637,VISC
18453_3564_x30226_y9677,SSp-m
18455_00264,VPM
17545_00071,VAL
18458_00306,VPM
17787_00019,CP
17545_00119,CP
pre_18864_00424,MOp
18464_00031,LGd
191807_5811_x3931_y20674,SSp-bfd
17302_00094,CP
182725_3762_x5563_y19178,MOp
18455_5898_x14920_y13352,VPLpc
18465_00084,VPM
18453_7304_x11719_y3749,VISp
18868_6405_x11428_y4397,VISpm
18868_2924_x10668_y9719,MOp
18454_00066,VPM
18464_00088,CP
18453_5766_x31719_y6139,SSs
18453_6846_x11548_y2831,VISp
18453_5535_x29214_y5045,SSp-bfd
18465_00145,MG
18465_00155,CP
18461_3871_x7813_y3857,MOp
18457_00077,CP
18454_01127,LGd
18462_00013,VPM
18458_00492,VPL
18465_00233,VPL
17109_4764_x6621_y5727,SSs
18463_00042,RE
17545_00154,VPL
18453_3841_x9500_y7920,SSp-m
18463_00052,VPL
17545_00144,CP
191812_6084_x5026_y7787,SSp-bfd
18457_00083,VPM
18869_6291_x15236_y3478,RSPv
18455_00037,CP
18869_00024,CP
18868_5701_x9538_y5736,SSp-bfd
18453_3810_x16082_y20891,OT
pre_18458_00357,DG
18869_5941_x16325_y2938,RSPv
18454_00092,CP
17302_00108,CP
17302_00118,LGd
18465_00070,LGd
18867_7924_x22262_y16755,PRNr
18864_2520_x2913_y22642,MOs
18454_00143,VPLpc
18454_00153,VPM
17545_00095,LGd
18453_4749_x31789_y8895,SSp-n
17545_00085,VPMpc
18457_00152,VPM
18454_01012,VPL
17109_4772_x9038_y27257,SSs
182724_5793_x8695_y5510,AUDv
18868_3875_x8707_y8341,SSp-m
18457_00142,CP
18454_01060,VPM
18457_00048,VPM
18454_01118,VPM
18457_00058,VPM
18457_00120,VPL
18454_01108,VPM
18867_3758_x14594_y6944,MOp
17543_4868_x6727_y21047,SSs
18869_4453_x9586_y8809,RT
18454_00059,LGd
18454_00049,CP
pre_18465_00368,DG
18454_00131,VPM
18868_2225_x15897_y10006,ORBvl
17302_00002,CP
17781_3668_x9453_y17266,SSp
17781_00004,CLA
18453_7146_x8788_y4552,VISp
18867_4513_x27588_y6824,SSp-ul
18455_00045,LGd
17300_3426_x20339_y44872,SSs
17782_3253_x33739_y18314,AId
18457_00199,MG
18463_00020,CP
17545_00136,CP
18458_00241,LGd
17787_00026,CP
18453_7692_x10145_y15241,ENTm
191812_2734_x6259_y10487,MOs
17545_00126,CP
18464_00042,VPM
pre_18864_00457,RSPagl
17543_3308_x10077_y3766,SSs
18464_00052,VPM
18869_4026_x21667_y6102,SSp-m
18868_5686_x9887_y5415,SSp-bfd
pre_18458_00369,DG
18455_00019,VPL
18455_00009,CP
18458_00458,MG
236174_6438_x12218_y5897,ECT
18454_01095,VPM
18867_4421_x31775_y9812,SSp-m
18454_01085,VPM
pre_18864_00174,MOp
17109_2201_x8046_y23301,MOs
18458_00375,AM
18453_7112_x9089_y4667,VISp
18465_00328,VPL
18462_00060,VPLpc
18457_00004,CP
18457_00014,CP
191812_3140_x5204_y12992,MOs
18453_6053_x8032_y5933,VISrl
18464_00183,VPM
18453_6561_x9442_y3817,VISrl
18867_3469_x10058_y10954,MOp
18453_3704_x10450_y7387,SSp-m
18454_00015,CP
18868_5531_x7356_y7030,SSp-bfd
18464_00193,LP
18465_00136,LGd
18868_4464_x5477_y11004,SSs
18465_00126,VPM
18465_00154,CP
18869_4184_x11041_y4195,MOp
236174_4266_x13848_y8550,AIp
17782_3138_x32805_y18352,AId
18454_00067,VPM
18457_00066,VPM
18453_6746_x8555_y4741,VISl
18454_01126,VPM
18462_00012,VPM
18457_00076,CP
18869_3634_x20027_y5437,SSp-m
17545_00118,CP
18453_5667_x25695_y3103,VISam
17545_00060,CP
18458_00542,VPM
236174_5338_x13590_y7348,AIp
18461_4545_x5749_y4914,SSp-m
18867_6986_x31479_y5932,VISl
17543_3705_x9619_y20864,SSp-m
17302_00085,CP
17109_2401_x9338_y2394,AId
17302_00095,CP
18869_5024_x5544_y5480,SSs
18458_00119,VPM
18454_00152,VPM
18867_4554_x26130_y14869,CP
18454_00142,VPLpc
17302_00119,LGd
18465_00109,LGd
18465_00119,LGd
pre_182712_00027,PAA
18457_00143,VPM
17109_6201_x4328_y6753,VISp
18454_01013,VPM
17781_5548_x15772_y8872,VISC
18867_8235_x25208_y14610,PB
17545_00084,VPMpc
17545_00094,LGd
18868_2593_x15801_y13755,ORBvl
18457_00082,CP
pre_18866_00299,DG
17545_00145,CP
17545_00155,CP
236174_7077_x14579_y30892,TEa
18454_00093,CP
18864_5242_x9483_y31549,AUDd
17781_7281_x18241_y11406,SUB
pre_18458_00356,DG
18455_00026,CP
191812_3801_x5383_y20989,MOp
18455_00036,CP
18869_00025,RT
18869_3659_x21701_y7032,SSp-m
18455_00044,LGd
18869_3504_x6554_y5961,SSp-m
18458_00250,LGd
18463_00031,VPM
18463_00021,CP
18457_00188,VM
pre_18864_00051,SSp-ul
18869_4571_x10055_y8359,RT
236174_3529_x13394_y26567,SSp-m
18457_00121,MG
18454_01109,VPM
18457_00059,VPM
pre_18864_00180,AUDd
18454_01119,VPM
18454_01061,VPM
18457_00049,VPM
17302_00003,CP
18869_5694_x15073_y4098,RSPv
18465_00003,CP
17302_00013,CP
18454_00130,MD
18453_4345_x12044_y5189,SSp-ul
18454_00048,VPM
18869_7358_x8916_y4859,POST
pre_18465_00369,DG
18869_4426_x7611_y4421,SSp-un
18454_00058,RE
18465_00035,CP
18461_4862_x17603_y2198,SSp-ll
17302_00025,MD
17302_00035,MG
18453_2400_x15836_y7243,MOs
18464_00080,MG
18454_00106,VPM
pre_18469_00086,RSPd
18457_00117,VPL
18867_5203_x10027_y7237,SSp-bfd
18454_01047,VPM
18864_6384_x3409_y13059,RSPd
17545_00111,CP
18463_00007,CP
18869_5980_x7654_y3517,SSp-bfd
pre_18467_00342,AAA
pre_18864_00067,SSp-ul
18465_00292,VPM
18453_4067_x16924_y5288,MOp
18864_2086_x2903_y21496,MOs
18867_3525_x9958_y10743,SSp-m
18465_00282,CP
18868_4047_x27203_y7787,SSp-ul
18869_4841_x18666_y8144,RT
18869_3321_x21485_y7678,SSp-m
18455_4709_x21225_y13716,IAD
191812_3438_x6058_y10197,MOp
191807_2469_x5431_y10056,AId
18464_00141,CP
18464_00029,MG
18464_00133,VPL
pre_18458_00360,DG
18470_3227_x19287_y16117,SSp-m
17545_00163,MG
18463_00075,CP
18453_7223_x30215_y5120,VISp
17545_00173,LGd
17543_2434_x11441_y5587,SSp-m
18458_00580,VPM
18454_01035,VPM
18868_4221_x5685_y12199,SSs
191812_3922_x8455_y6768,SSp-m
18453_6316_x30559_y4743,VISrl
18454_00174,CP
18869_5684_x13521_y3699,RSPv
18454_00164,VPM
18455_4619_x10185_y12182,CP
18465_00057,LGd
pre_18454_00376,CP
18457_00203,VPL
17302_00047,CP
18465_00047,LD
17302_00057,CP
18455_00125,VPL
18867_5169_x12576_y5864,SSp-ul
18455_00135,CP
18458_00612,LP
18458_00057,LGd
pre_18864_00413,MOs
191801_1996_x10466_y16907,AON
18464_00016,CP
18869_5123_x17555_y3609,RSPagl
18867_3807_x9130_y11820,SSp-m
18463_00028,VPM
18868_3009_x28076_y11485,MOp
18458_00249,LGd
18867_6468_x21532_y7741,SUB
17545_00046,CP
18463_00038,VPM
17545_00056,VPM
18453_6537_x8725_y4484,VISal
18458_00564,VPM
pre_18864_00048,VISam
18455_00253,VPM
191812_4664_x8027_y25176,SSs
18458_00574,MG
17543_3842_x7369_y3542,SSp-bfd
18454_01110,VPM
18462_00024,LGd
18457_00040,CP
18457_00128,VPM
18454_01100,VPM
17786_00022,AON
18465_00204,ACB
18454_01078,CP
191807_4114_x3589_y10280,MOp
18869_4253_x4991_y7023,SSs
pre_17543_01139,error
191812_5676_x8072_y26215,SSs
18454_00129,VPM
pre_18465_00370,DG
18454_00051,VAL
18454_00139,VPM
18867_4330_x29413_y7746,SSp-m
191812_4686_x10891_y5452,VISC
18453_3225_x17398_y19713,OT
18868_3592_x9776_y8113,MOp
17302_00078,VPL
18465_00110,LGd
17302_00110,CP
18465_00078,VPM
pre_18864_00083,VISp
18462_00056,VPM
18457_00032,CP
18869_4347_x8166_y4281,SSp-ul
18458_00353,CP
17545_00024,CP
18868_4818_x14513_y17030,RT
18864_6956_x8154_y30811,VISpor
18864_00026,AId
17109_6401_x7641_y3978,AUDv
18464_00074,VPM
18455_00147,VPM
18869_4550_x7203_y4574,SSp-n
18047_4458_x18853_y10785,ACAv
18869_4301_x16815_y4413,MOp
18454_01124,VPM
18457_00074,MG
17781_2184_x15071_y19950,ORBl
18454_01134,VPL
18465_00348,VPL
pre_18464_00087,CP
18465_00230,VPM
18457_00064,VPM
18453_6604_x9161_y4006,VISrl
18454_00065,PO
18864_6733_x9057_y31875,AUDp
18454_00075,VAL
18461_4388_x5599_y5781,SSp-n
18465_00146,MG
18465_00156,CP
pre_18864_00427,MOs
17300_6010_x23413_y13446,VISal
17302_00097,CP
18453_3492_x29357_y9198,SSp-m
18458_00550,VPM
pre_18864_00114,SSp-m
17109_6801_x7432_y4405,TEa
18864_4554_x9386_y2232,SSs
18458_00540,VPM
18452_5511_x26566_y3403,SSp-tr
17545_00168,VPM
17109_2301_x8535_y23051,AId
17545_00178,RE
18455_00205,VPL
18869_4091_x4807_y8065,SSs
18454_01097,VPM
18455_00163,MD
18868_4706_x15828_y16760,RT
18464_00128,VPM
18453_7132_x11495_y3152,VISp
18864_00002,SSp-bfd
17302_00124,CP
pre_18454_00450,CP
18464_00191,LP
pre_18868_00443,MOp
18454_00017,CP
18868_3781_x6715_y11703,SSp-m
18867_4957_x30093_y7560,SSp-n
18465_00242,VPL
18462_00062,VPM
18457_00006,CP
pre_18464_00169,BST
18864_4380_x6371_y4940,SSp-n
18455_00258,VPM
pre_18864_00043,MOp
18867_6413_x20950_y6015,RSPv
236174_2657_x11930_y12250,AId
18458_00242,LGd
18453_6748_x28152_y3578,VISp
17545_00125,CP
18864_5099_x6368_y29941,SSp-bfd
18455_00046,LGd
17781_6228_x12697_y8412,AUDp
18454_00132,VPMpc
18453_3579_x30397_y10103,SSp-m
18465_00001,CP
17302_00011,CP
18869_5692_x6534_y3440,SSp-bfd
18465_00011,CP
17302_00001,CP
18457_00133,ACB
18867_7123_x11808_y5131,VISp
18454_01063,VPM
236174_3829_x14826_y27255,GU
18457_00123,VPL
18454_01073,VPM
18864_6805_x6340_y4681,VISl
18869_3857_x22137_y7268,SSp-m
191807_4821_x3698_y18726,SSp-ll
pre_18864_00088,VISp
18465_00305,VPL
18454_01001,VPM
18457_00029,VPM
18457_00141,CP
pre_18864_00098,VISp
18457_00039,CP
18454_01011,VPM
191812_3494_x7001_y8336,SSp-m
17302_00063,CP
pre_18864_00286,MOp
18454_00140,VPM
18453_4711_x14090_y3943,SSp-ll
18454_00150,MG
18454_00028,CP
182725_2917_x9391_y22263,AId
18867_4817_x16327_y15739,RT
pre_18458_00354,DG
182725_2581_x9375_y21137,AIv
18868_3853_x29683_y10294,SSp-m
182724_2526_x7529_y21792,MOs
18463_00041,VPMpc
18453_3795_x13584_y5960,MOp
18463_00051,CP
17545_00147,CP
18457_00090,VPM
pre_18864_00021,VISpm
18457_00080,CP
18453_2884_x12998_y7285,MOs
18463_00067,VPM
18869_7989_x9123_y9916,PSV
18453_3935_x22928_y21885,OT
18047_2622_x11862_y12983,MOs
236174_3929_x13599_y9165,CLA
18867_5654_x12080_y5724,SSp-un
18869_4282_x22276_y6457,SSp-n
18458_00443,VPM
18869_7472_x16444_y11009,PRNr
18455_00012,CP
18453_5113_x9557_y5782,SSp-bfd
18867_3926_x8710_y12751,SSs
18455_00002,CP
18464_00049,VPM
18465_00045,CP
17302_00055,CP
17302_00045,CP
18454_00166,VPL
18454_00176,SMT
17781_6202_x7633_y12296,SSp-bfd
18464_00198,LP
18867_3832_x10338_y8748,SSp-m
18453_6500_x34303_y12884,TEa
17543_3828_x6023_y17044,SSp-ll
18454_01027,VPM
pre_182712_00003,OT
18047_5719_x25513_y7957,SSp-un
18868_3699_x17279_y16010,LSv
18462_00009,CP
18458_00488,CP
18457_00115,ACB
18454_01045,VPM
18453_3848_x19057_y7025,ACAv
18462_00019,VPM
18454_01055,VPM
18465_00229,VPM
18869_3741_x6284_y6163,SSp-m
18869_6854_x10735_y2978,VISp
17109_2601_x9296_y24691,CLA
17781_4710_x13766_y10574,SSs
182725_6819_x6109_y7853,VISp
17788_5059_x3960_y6601,SSp-n
18452_7249_x11408_y2071,VISp
191812_6351_x5009_y7424,SSp-bfd
18464_00082,CP
17788_5767_x16636_y3662,RSPv
17302_00037,VPM
18465_00037,CP
182725_2241_x9113_y11193,MOs
17302_00027,CP
18458_00102,LGd
18464_00153,CP
18464_00143,VPM
18868_4693_x13797_y16937,RT
18869_4468_x23035_y7089,SSp-n
18867_5194_x29530_y6807,SSp-bfd
18458_00549,VPL
pre_18864_00065,SSp-ul
18463_00005,CP
17545_00113,CP
18458_00264,LGd
17787_00013,CP
18868_4341_x30419_y10114,SSp-n
18463_00015,LGd
18458_00280,VPM
18457_00148,VPM
18462_00054,LGd
18457_00030,CP
18454_01018,VPM
18465_00264,CP
pre_18864_00081,MOs
18462_00044,VPM
18869_5705_x4706_y6107,AUDv
17302_00112,VPM
18869_4036_x8032_y4635,SSp-ul
18868_3799_x26336_y7466,SSp-ul
17302_00102,CP
18453_3766_x16118_y20931,OT
18465_00112,LGd
18454_00159,VPM
18454_00021,CP
pre_18868_00465,MOp
pre_18465_00268,CA1
18454_00149,MG
182724_5410_x4393_y11075,SSp-ll
17781_6866_x8954_y41812,VISl
18869_4410_x8772_y3996,SSp-ul
18455_00145,VPM
18464_00076,VPM
18864_5637_x5637_y31619,VISp
18454_00098,IAD
18458_00239,LGd
18463_00058,VPM
18452_4002_x10332_y17479,EPd
17781_5655_x10641_y11102,SSs
17545_00026,CP
18458_00351,CP
pre_18454_00865,CP
18457_00089,VPM
18867_4302_x30805_y9233,SSp-m
pre_18464_00102,CA1
pre_18864_00038,MOp
18457_00099,VPL
18461_5025_x23630_y4542,SSp-bfd
pre_18469_00002,SSp-ul
191812_5922_x4572_y8645,SSp-tr
17545_00054,VPM
18869_6454_x17703_y2478,RSPagl
17545_00044,CP
17109_6601_x4384_y7436,VISal
18464_00004,CP
pre_18864_00411,MOs
18455_00137,VPM
18455_00127,CM
pre_18866_00186,DG
18868_2621_x11765_y8944,MOs
236174_3829_x13590_y9284,CLA
17109_2401_x9695_y9693,CLA
18454_00053,MD
pre_17543_01053,error
18465_00018,CP
18868_5456_x7773_y6771,SSp-bfd
18453_3326_x29413_y10076,SSp-m
18465_00008,CP
17302_00018,CP
18465_00206,ACB
18457_00052,VPM
18462_00026,MG
18454_01112,VPM
18455_5474_x14981_y13279,VPM
18454_00177,SMT
18454_00167,VPL
18867_4392_x7633_y13301,SSs
17302_00044,CP
18465_00054,DG
17302_00054,VPM
18465_00044,CP
18458_00583,VPL
18455_5730_x15780_y13638,VPM
18864_2047_x3016_y12128,MOs
pre_18864_00016,SSp-ul
191812_3758_x8791_y24162,SSs
17545_00008,CP
17545_00170,LGd
18463_00066,VPM
18464_00048,VPM
18869_3590_x6132_y6798,SSp-m
18864_4067_x3464_y21495,MOp
pre_18458_00373,DG
18455_00013,CP
18864_4760_x3070_y21249,MOp
18455_00119,CP
18868_3507_x7704_y10476,SSp-m
18453_3021_x27493_y8943,MOp
18463_00014,VPM
182724_2997_x5821_y12613,MOs
18463_00004,CP
18465_00291,VPLpc
18465_00281,CP
18458_00548,VPM
pre_18864_00074,MOp
18458_00430,VPM
18868_6019_x9541_y5296,VISrl
18453_4693_x33039_y11636,SSs
18453_7188_x11060_y3637,VISp
18465_00228,VPL
18454_01054,VPM
18462_00018,VPM
18465_00238,VPL
18454_01044,VPM
18457_00114,CP
18869_4050_x21764_y6239,SSp-m
18465_00036,CP
17302_00036,MG
18454_00105,VPM
18864_00025,SSp-ul
17109_2500_x9864_y9311,CLA
18454_00099,AM
18868_5397_x19819_y6085,RSPv
18455_00144,VPM
18453_6040_x24821_y3042,VISam
18455_00154,VPM
18457_00098,VPM
18458_00505,VM
18867_3383_x10177_y11497,SSp-m
pre_18864_00039,VISpm
pre_18464_00103,CA1
18457_00088,VPM
17545_00027,CP
17543_5334_x5066_y20381,VISal
18454_01009,VPM
18462_00045,VPM
18457_00159,VPM
18457_00031,CP
18462_00055,VPM
18868_5369_x19532_y5532,RSPv
18453_1643_x24077_y11694,MOs
18458_00281,VPM
18454_00148,VPL
18454_00020,CP
18868_4434_x10947_y6887,SSp-ul
18868_6196_x17668_y4955,RSPv
18454_00158,VPM
18465_00113,LGd
17302_00103,CP
17302_00113,VPM
18868_4517_x31548_y11591,SSs
18868_2559_x15436_y13207,ORBvl
18465_00009,CP
18465_00161,EPd
17302_00009,CP
18453_7007_x11486_y3611,VISp
18454_00052,VPM
pre_18465_00373,DG
236174_3729_x15151_y26698,AId
18869_4301_x20547_y5218,SSp-un
18869_3482_x7077_y5660,SSp-m
18458_00185,PO
18867_4826_x11914_y16564,CP
18457_00043,CP
18864_1917_x3417_y12763,MOs
18864_6057_x8520_y2391,AUDp
18462_00027,VPL
18454_01113,VPM
18465_00207,ACB
18868_3931_x26823_y7496,SSp-ul
18457_00053,VPM
18454_01103,VPM
17545_00045,CP
17545_00055,VPM
236174_3729_x12692_y9419,CLA
18458_00567,VPL
18455_00240,CP
18458_00577,VPM
18455_00126,PVT
18455_00136,VPM
18869_7986_x18907_y11037,PSV
18864_00057,ORBm
17302_00086,CP
18869_4722_x18329_y4110,SSp-ll
18868_4648_x14941_y16268,RT
18869_4890_x8926_y9583,RT
18453_3796_x16246_y20830,OT
17302_00096,CP
18455_00110,CP
236174_3970_x13439_y8678,CLA
18864_00119,VISp
pre_18864_00426,MOs
17545_00063,CP
17545_00073,CP
17782_3284_x11909_y16428,CLA
18868_2584_x14386_y13639,ORBl
18465_00288,VPM
18458_00541,VPM
236174_4729_x16869_y27809,EPd
18458_00551,VPM
18453_5841_x19468_y3419,RSPv
pre_18464_00086,CP
18457_00065,VPM
17786_00017,AON
18465_00349,CP
18457_00075,MG
18453_4231_x30739_y8470,SSp-n
18454_01125,VPM
18867_3855_x11412_y8044,SSp-m
18465_00157,CP
18454_00074,MD
18454_00064,VPM
18454_00016,CP
18867_7390_x9887_y4961,VISp
17302_00125,LP
18465_00125,VPM
18457_00209,MD
18864_4797_x9453_y2359,SSs
18869_4345_x7097_y4738,SSp-n
18457_00007,CP
18867_4621_x24147_y14734,RT
18462_00063,VAL
18465_00243,VPM
18867_4831_x27808_y6496,SSp-ul
18457_00017,VPM
17300_5896_x24862_y27320,RSPv
18454_01096,VPM
18453_3456_x24161_y6646,MOp
18455_00204,VPM
18869_5553_x7275_y3994,SSp-bfd
18454_01086,VPM
18458_00376,AM
17545_00001,CP
17545_00179,LGd
18452_3926_x14445_y21337,OT
17545_00169,VPM
18464_00139,VM
18869_4629_x8451_y4031,SSp-ul
18464_00129,VPM
18868_3389_x28317_y9872,SSp-m
191812_4003_x5886_y22658,SSp-m
18455_00172,CP
18465_00168,CP
17302_00010,CP
236174_3893_x17507_y26071,EPd
18864_6581_x10729_y2199,TEa
18454_00133,VPM
18868_3547_x28065_y9077,SSp-m
18868_3783_x28846_y9268,SSp-m
18454_01072,VPM
18457_00122,VPL
182725_2376_x10033_y10786,MOp
18454_01062,VPM
17545_00124,CP
18463_00032,MG
18867_6452_x16339_y18318,BS
18455_00259,VPM
pre_18864_00042,RSPagl
pre_18464_00168,BST
18455_00047,VPM
18047_7769_x31046_y13195,ENTl
182724_2670_x5615_y13225,MOs
18867_7584_x10560_y5816,VISp
17109_6501_x6997_y4287,AUDpo
18458_00125,VPM
18454_00090,CLA
18454_00080,CP
pre_17543_01090,error
18457_00081,AON
18457_00091,VPM
17545_00146,CP
18867_6985_x12525_y4095,VISp
18463_00040,VPM
236174_4129_x16214_y10304,FS
18457_00038,CP
18454_01010,VPM
18457_00140,CP
18454_01000,VPL
18457_00028,VPM
18465_00304,VPM
18457_00150,VPM
18867_4216_x9933_y8365,SSp-m
18868_4192_x10967_y7007,SSp-ul
18454_00029,CP
18454_00151,VPLpc
18454_00039,CP
18458_00086,LGd
18455_5517_x15391_y12702,PO
18454_00141,VPLpc
17302_00062,CP
18869_4883_x18883_y4120,SSp-ll
