S1,S2,S3,S4,tip_br,total,order,dist2soma,contraction,length
1,0,2,4,1,7,27,10330.4,0.870028,252.847
1,1,1,0,0,3,28,10536.7,0.879193,41.3128
0,1,1,0,0,2,28,10400.2,0.564057,61.6839
3,3,3,3,1,12,28,10400.2,0.756487,449.418
1,1,0,0,1,2,28,10324.3,0.97547,68.5027
0,1,0,0,0,1,29,10541.1,0.978693,12.7743
1,1,1,1,0,4,29,10541.1,0.927785,35.1101
0,1,0,0,0,1,29,10578,0.922085,16.1578
4,1,1,0,0,6,29,10578,0.915962,183.614
1,0,0,0,0,1,29,10461.9,0.824683,11.6455
0,1,1,0,1,2,29,10461.9,0.663946,83.6824
2,1,0,0,0,3,30,10553.9,0.416249,188.801
1,0,0,0,0,1,30,10576.2,0.987459,15.9502
0,2,0,1,0,3,30,10576.2,0.955452,29.7479
1,1,0,0,0,2,30,10594.2,0.935442,86.7739
2,1,0,0,0,3,30,10594.2,0.937279,71.9417
1,2,2,1,1,6,30,10761.6,0.863234,129.384
3,3,2,3,1,11,30,10761.6,0.881182,123.688
0,1,0,0,1,1,30,10473.5,0.973774,49.0523
1,1,2,2,0,6,30,10473.5,0.864903,195.101
1,1,1,0,0,3,31,10639.5,0.973503,77.6288
1,1,0,1,0,3,31,10742.7,0.915027,40.8092
0,0,0,2,1,2,31,10742.7,0.781604,106.912
0,0,0,1,0,1,31,10592.2,0.952522,30.6412
2,1,1,2,1,6,31,10592.2,0.833737,251.265
1,0,0,0,0,1,31,10606,0.959533,18.1481
1,0,0,0,0,1,31,10606,0.865806,45.9839
1,1,2,1,1,5,31,10680.9,0.864995,120.779
1,1,1,2,1,5,31,10680.9,0.948339,214.582
1,1,0,1,0,3,31,10666.1,0.916285,29.5333
1,1,1,2,1,5,31,10666.1,0.766545,137.575
2,1,0,1,1,4,31,10668.7,0.917117,53.1701
1,1,1,2,1,5,31,10668.7,0.88794,59.4039
2,0,2,0,0,4,32,10659.2,0.953658,112.574
4,1,2,3,1,10,32,10659.2,0.935321,295.635
0,0,1,0,0,1,32,10717.1,0.964839,26.9185
1,0,1,2,1,4,32,10717.1,0.972402,108.737
1,0,0,0,1,1,32,10783.5,0.914578,7.17103
3,0,1,1,0,5,32,10622.8,0.934009,119.983
1,0,0,0,0,1,32,10622.8,0.92535,150.859
0,0,0,1,0,1,32,10624.1,0.819241,49.1774
1,0,1,1,0,3,32,10624.1,0.968579,45.6967
0,0,1,0,0,1,32,10652,0.943903,22.7381
2,1,1,1,1,5,32,10652,0.986443,47.9912
0,0,0,1,1,1,32,10695.6,0.89612,6.18195
2,0,1,3,1,6,32,10695.6,0.947187,76.4206
0,0,3,1,0,4,33,10771.8,0.901622,121.402
6,3,2,4,1,15,33,10771.8,0.907252,246.877
4,0,2,1,1,7,33,10744.1,0.954637,280.543
5,2,3,1,1,11,33,10744.1,0.983953,330.094
1,2,0,1,1,4,33,10855.7,0.897269,121.88
0,2,2,2,1,6,33,10855.7,0.704693,154.891
2,0,1,1,1,4,33,10742.8,0.860688,59.2892
0,1,1,1,0,3,33,10742.8,0.900142,77.5445
0,0,0,1,1,1,33,10773.7,0.991314,11.0288
1,0,0,2,0,3,33,10773.7,0.935607,42.7657
1,1,0,1,0,3,33,10673.3,0.916129,31.6687
0,0,1,1,0,2,33,10669.8,0.956606,58.9775
0,1,0,1,1,2,33,10669.8,0.913153,145.114
0,1,1,0,1,2,33,10674.7,0.965335,20.8306
2,0,0,0,1,2,33,10674.7,0.958777,68.6354
2,1,1,0,1,4,34,10893.2,0.944467,103.482
2,1,3,2,1,8,34,10820.4,0.747634,80.9149
3,0,3,5,1,11,34,10820.4,0.920491,292.869
5,0,2,2,1,9,34,10816.5,0.887989,216.231
1,1,1,0,0,3,34,10705,0.888059,87.5242
3,2,1,2,1,8,34,10705,0.945403,143.625
1,0,1,0,1,2,34,10728.8,0.958953,47.7656
2,2,0,0,1,4,34,10728.8,0.963713,94.2672
4,2,3,3,1,12,35,10792.5,0.849466,205.409
4,4,5,5,1,18,35,10792.5,0.885291,296.73
