name,arbor_id,stype,arbor_order,LD,ptype
18455_00261,1,VPM,0,0,TH_core
18457_00062,0,VPM,1,1,TH_core
18457_00062,1,VPM,0,0,TH_core
18457_00072,0,VPM,1,1,TH_core
18457_00072,1,VPM,0,1,TH_core
18462_00016,0,VPM,1,1,TH_core
18462_00016,1,VPM,0,1,TH_core
18454_01122,0,VPM,1,1,TH_core
18454_01122,1,VPM,0,0,TH_core
18462_00020,0,VPM,1,1,TH_core
18462_00020,1,VPM,0,0,TH_core
18454_01114,0,VPM,1,1,TH_core
18454_01114,1,VPM,0,0,TH_core
18457_00054,0,VPM,1,1,TH_core
18457_00054,1,VPM,0,1,TH_core
18454_01104,0,VPM,1,1,TH_core
18454_01104,1,VPM,0,0,TH_core
18455_00257,0,VPM,1,1,TH_core
18455_00257,1,VPM,0,1,TH_core
18455_00121,0,VPM,1,1,TH_core
18455_00121,1,VPM,0,0,TH_core
18455_00049,0,VPM,0,0,TH_core
18455_00049,1,VPM,1,1,TH_core
18455_00143,0,VPM,0,0,TH_core
18455_00143,1,VPM,1,1,TH_core
18457_00026,0,VPM,1,1,TH_core
18457_00026,1,VPM,0,0,TH_core
18462_00052,0,VPM,0,0,TH_core
18462_00052,1,VPM,1,1,TH_core
17302_00114,0,VPM,0,0,TH_core
17302_00114,1,VPM,1,1,TH_core
18458_00114,0,VPM,1,1,TH_core
18458_00114,1,VPM,0,0,TH_core
18465_00286,0,VPM,1,1,TH_core
18465_00286,1,VPM,0,1,TH_core
18463_00003,0,VPM,1,1,TH_core
18463_00003,1,VPM,0,1,TH_core
18454_01053,0,VPM,1,1,TH_core
18454_01053,1,VPM,0,0,TH_core
18454_01043,0,VPM,1,1,TH_core
18454_01043,1,VPM,0,0,TH_core
17302_00053,0,VPM,1,1,TH_core
17302_00053,1,VPM,0,0,TH_core
18454_00160,0,VPM,1,1,TH_core
18454_00160,1,VPM,0,1,TH_core
18454_01031,0,VPM,0,0,TH_core
18454_01031,1,VPM,1,1,TH_core
18458_00584,0,VPM,1,1,TH_core
18458_00584,1,VPM,0,0,TH_core
18457_00019,0,VPM,1,1,TH_core
18457_00019,1,VPM,0,0,TH_core
18458_00445,0,VPM,1,1,TH_core
18458_00445,1,VPM,0,0,TH_core
18454_01098,0,VPM,1,1,TH_core
18454_01098,1,VPM,0,0,TH_core
18464_00127,0,VPM,1,1,TH_core
18464_00127,1,VPM,0,0,TH_core
17545_00110,0,VPM,1,1,TH_core
17545_00110,1,VPM,0,1,TH_core
17545_00078,0,VPM,0,0,TH_core
17545_00078,1,VPM,1,1,TH_core
18458_00277,0,VPM,0,1,TH_core
18458_00277,1,VPM,1,1,TH_core
18454_00107,0,VPM,0,1,TH_core
18454_00107,1,VPM,1,1,TH_core
18454_01056,0,VPM,1,1,TH_core
18454_01056,1,VPM,0,1,TH_core
18454_01034,0,VPM,1,1,TH_core
18454_01034,1,VPM,0,1,TH_core
18454_00165,0,VPM,0,1,TH_core
18454_00165,1,VPM,1,1,TH_core
17545_00172,0,VPM,1,1,TH_core
17545_00172,1,VPM,0,0,TH_core
18457_00051,0,VPM,1,1,TH_core
18457_00051,1,VPM,0,1,TH_core
18457_00129,0,VPM,1,1,TH_core
18457_00129,1,VPM,0,0,TH_core
18454_01101,0,VPM,1,1,TH_core
18454_01101,1,VPM,0,0,TH_core
18454_01069,0,VPM,1,1,TH_core
18454_01069,1,VPM,0,1,TH_core
18454_01111,0,VPM,1,1,TH_core
18454_01111,1,VPM,0,1,TH_core
18454_00138,0,VPM,0,1,TH_core
18454_00138,1,VPM,1,1,TH_core
18458_00575,0,VPM,0,1,TH_core
18458_00575,1,VPM,1,1,TH_core
18457_00190,0,VPM,0,0,TH_core
18457_00190,1,VPM,1,1,TH_core
18455_00252,0,VPM,1,1,TH_core
18455_00252,1,VPM,0,1,TH_core
17545_00057,0,VPM,1,1,TH_core
17545_00057,1,VPM,0,0,TH_core
18463_00039,0,VPM,1,1,TH_core
18463_00039,1,VPM,0,0,TH_core
18463_00029,0,VPM,0,1,TH_core
18463_00029,1,VPM,1,1,TH_core
18455_00146,0,VPM,1,1,TH_core
18455_00146,1,VPM,0,0,TH_core
18464_00075,0,VPM,0,1,TH_core
18464_00075,1,VPM,1,1,TH_core
18465_00079,0,VPM,1,1,TH_core
18465_00079,1,VPM,0,0,TH_core
18462_00057,0,VPM,1,1,TH_core
18462_00057,1,VPM,0,0,TH_core
18457_00023,0,VPM,1,1,TH_core
18457_00023,1,VPM,0,0,TH_core
