ptype,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
MG-core,0.01475333488372093,-0.3285898051162791,-0.3133079193023256,-0.2970884186046511,-0.049457604651162786,-0.6544026232558139,-0.734900588372093,-0.3734024860465116,-0.6339640581395349,-0.11146214883720931,-0.11810600232558141,-0.3447500681395349,-0.11118748837209304,-0.0973533023255814,-0.20700128604651166,-0.17387048139534883,-0.2682023023255814,0.051982616279069756
SMT-core,0.4972219047619048,1.3370369852380952,1.3419538619047617,1.3368614,-0.13848571428571427,0.15831650476190476,0.007074409523809532,1.2025539523809523,0.3426828809523809,-0.1243286,0.04386087142857144,0.3218001238095238,0.26348774761904764,0.23248771904761906,0.1117551857142857,0.08624478095238094,-0.16965542857142857,0.6198551333333333
VPL-core,-0.5455500677966102,-0.011746294322033899,-0.019234646101694917,-0.03488789644915255,-0.8279549830508475,-0.9614624254237288,-0.7515709771186441,-0.41156871271186446,-0.5640386319491525,-0.897860696779661,-0.7881679016949152,-0.3592192645762711,-0.5345317338983051,-0.615638643220339,-0.6143795966101695,-0.6700851127118643,-0.9230869623728813,-0.3044535847457627
VPM-core,-0.3550353400757576,-0.0954622415530303,-0.09246492458333333,-0.09795282015151516,-1.0341762973484847,-1.0297429071969697,-0.6942645162878788,-0.43461193333333337,-0.4512131662878788,-1.0162689738257575,-0.9574630170454546,-0.5437608857159091,-0.582372218939394,-0.6062530382575757,-0.6728863647727273,-0.6799448741666667,-0.9442689587121211,-0.2884797799242424
LD-matrix,0.18120419999999998,2.07863,2.039076,2.002716,0.6909588,0.90179128,1.1281202000000001,2.20907,-0.28511420000000004,0.80319567,1.03377918,1.445254,1.4134039999999999,1.5628841999999998,1.5546149999999999,1.5382360000000002,1.1480286000000002,1.9326720000000002
LP-matrix,-0.6520935368292683,0.17305229024390245,0.13888983902439023,0.10616681951219513,0.18952539024390244,-0.22554939756097558,0.36736759341463415,0.28634561219512195,-0.6958964268292683,0.11256033609756097,0.24003616097560973,0.08397771853658537,0.11488619512195121,0.1768106219512195,0.24447580975609753,0.18894094878048778,0.11073855609756099,0.06443082195121952
VM-matrix,0.09089416986301371,0.5592585179452055,0.5552973968082192,0.5449076424246576,0.0713613191780822,0.30939475205479455,0.21622577671232876,1.0788482201369862,-0.2885777109589041,0.049970999041095886,0.13581476438356166,-0.024853954794520558,-0.03831762334246576,0.2671321967123288,-0.08684707945205479,-0.20030213698630137,-0.28639909589041096,0.024240795890410963
RT,-0.1652245304347826,-0.06222597043478261,-0.06295958260869565,-0.059219498695652184,-0.5502853173913044,-0.37033134782608695,-0.32461468130434784,-0.40374886086956524,-0.6647186834782609,-0.41746091304347827,-0.20860125217391304,-0.06512831304347824,0.23156848260869564,0.08352009999999999,0.1196069304347826,0.09243582173913042,-0.19398782608695656,0.4313058739130435
CP-GPe,-0.2850056077777778,-0.09789818418518519,-0.10311091962962962,-0.11150591218518519,-0.19743164425925924,-0.5311357837037037,-0.4191992311111111,-0.3698718222222222,0.2061896051851852,-0.18342028668888888,0.06377866425925927,-0.11586689322222223,-0.34504194444444447,-0.4642625897777778,-0.19875276733333333,-0.2542406313703704,-0.11283685529629629,-0.21829347585185185
CP-SNr,-0.37762429947333775,-0.4720479195325872,-0.48117254619776173,-0.48723111803818303,-0.6817746880250165,-0.6320564532521395,-0.6446514998635945,-0.7611923345951283,-0.12233805809339698,-0.6608240683870967,-0.5379555318499013,-0.32112389302172484,-0.1907126487162607,-0.2777741317735352,-0.06039794757077024,-0.10562257549703752,0.0037290149651086272,-0.06893908902567479
ACB,-0.21149992096385545,-0.5761482604216868,-0.5822005637349398,-0.5799656869277108,-0.14076548704819278,-0.33582904698795185,-0.4431906743373494,-0.6528160469879518,0.28394519771084337,-0.16034431903614457,-0.05523577108433735,-0.15665424253012047,0.03985856626506024,0.054913486740963864,0.14900503012048194,0.1727919188554217,0.4201576156626506,0.09063743795180722
OT,-0.3886840867741935,-0.5444907344802867,-0.560731303046595,-0.5690266470250896,-0.3796930527240144,-0.01866192211469534,-0.47307023783870966,-0.6605917275985663,-0.0918471052078853,-0.23275993107526882,-0.1609966101433692,-0.12029067774193548,0.0821881752688172,0.08855741329390682,0.1918968730107527,0.05246898620788531,-0.019229955913978497,0.04266446021505376
