name,bnum,tebratio,pd2s_max,pd2s_min,pd2s_mean,pd2s_std,ed2s_max,ed2s_min,ed2s_mean,ed2s_std,binterval_max,binterval_min,binterval_mean,binterval_std,bdist2pb_max,bdist2pb_min,bdist2pb_mean,bdist2pb_std,neighborb_max,neighborb_min,neighborb_mean,neighborb_std,soma_region
17109_3701_x9228_y26684,1821,0.0005491488193300384,11234.21,39.85,3267.755183964854,3397.3614127774936,8006.98,37.49,2097.1691378363535,2614.4074794064204,1251.21,0.36,26.957056562328393,43.902781551113826,1251.21436,0.36451,50.1885361834157,70.94882481438351,45.0,0.0,11.41570565623284,9.380020584405113,SSs
18453_4711_x14090_y3943,1654,0.0012091898428053204,8445.53,17.35,3081.430816203144,3109.0648778403915,5848.51,14.34,2184.4775211608226,2319.383166879899,4729.94,0.35,17.5439661426844,116.57458187258125,4729.94385,0.34839,28.25477926239419,118.40418534611024,64.0,0.0,20.20677146311971,12.80660947774841,SSp-ll
17302_00098,1086,0.008287292817679558,3706.13,25.56,1208.363075506446,947.703518980803,1761.13,19.81,618.6965101289134,553.807980987965,372.23,0.23,11.574972375690606,16.42902915669378,372.22739,0.2251,18.451942753222834,23.813094914924836,86.0,0.0,36.255985267034994,20.255165719813547,CP
18455_00014,741,0.001349527665317139,2306.04,112.9,788.3292307692307,481.0299253612567,1085.17,19.74,324.1562753036437,250.11084574136171,114.76,0.3,12.553387314439949,12.414547122926086,133.97115,0.30195,20.61381524966262,21.17908143305484,111.0,2.0,32.34547908232119,22.194580460801255,CP
18454_00050,928,0.0021551724137931034,11171.57,1763.7,8653.363545258622,2084.123932067848,4771.39,1301.1,3994.494094827586,828.7370528917128,289.62,0.35,15.869482758620691,20.208214131746637,2739.41211,0.35453,29.191322176724135,95.1754502269573,122.0,0.0,27.646551724137932,28.901948381437478,MD
18462_00014,771,0.0012970168612191958,4715.89,3236.05,4367.493294422828,270.92579987510203,2621.59,1837.34,2372.027678339818,184.0968474843983,190.84,0.62,15.69261997405966,15.357783166074848,209.15305,0.61909,22.45609850843061,21.503042883051315,252.0,0.0,123.18028534370947,73.01129551764731,VPM
17302_00077,875,0.0034285714285714284,5998.66,1314.16,5165.320594285715,999.0110247913015,2879.56,976.21,2421.6521257142854,421.0186134924994,102.26,0.31,11.05537142857143,8.890736595001558,163.08891,0.30939,18.15719526857143,17.754052761849024,140.0,1.0,50.601142857142854,31.68855518298099,MG
pre_18864_00060,1406,0.0035561877667140826,5963.41,6.64,1613.0820981507825,1826.0845348223545,3931.97,6.63,961.5054196301564,1183.0578521479406,1531.69,0.25,16.814850640113796,53.03840977041183,1531.69348,0.25472,26.40091152916074,56.95497300978509,166.0,0.0,45.5149359886202,40.094489698206665,SSp-bfd
18864_5637_x5637_y31619,1552,0.001288659793814433,10067.79,4.59,2257.5427835051546,3321.7315820088484,7198.57,4.59,1497.0086984536085,2482.216785082267,203.65,0.0,16.36457474226804,14.97171973933343,6917.16162,0.46264,31.848291874999997,177.00146478990138,160.0,0.0,37.608247422680414,35.67360285929357,VISp
18457_00073,1461,0.0,5358.11,664.48,4523.161759069131,964.1374815280474,2811.83,577.03,2332.396872005476,435.3015063295132,60.75,0.21,9.909356605065025,6.377469277094166,123.90558,0.20757,14.548487173169061,11.861662304597884,299.0,3.0,103.28405201916496,69.62443830919761,VPM
