name,withbbr,nobbr,axonal_tip_brs,axonal_tip_wb_brs,axonal_bif_brs,axonal_bif_wb_brs,bnums,withb_br_len,nob_br_len,w_br_tor,n_br_tor,withbbif,nobbif,withb_br_angle,nob_br_angle,withb_br_rangle,nob_br_rangle,soma_region,brain_region
18465_00052,160,42,97,75,105,85,4.28125,134.81496412500002,68.89090452380951,0.14884993805309732,0.1022017999999999,85,20,74.71401282352943,80.98919500000001,62.04528748235295,81.04098050000002,CA1,CTX
18457_00069,332,73,189,161,216,171,4.882530120481928,99.59881560240963,104.74742589041097,0.1274444257425743,0.15763349999999987,171,45,73.91254304093569,86.87363777777777,65.69656502923976,74.5397577777778,MG,TH
18864_4797_x9453_y2359,324,33,161,145,196,179,9.17283950617284,218.45320719135805,203.2546115151515,0.13243141825095062,0.1060846666666665,179,17,63.31553938547487,77.46187647058824,57.54581524581005,64.36556470588235,SSs,CTX
17302_00045,139,65,93,67,111,72,3.8920863309352516,62.84325553956834,88.05465616923077,0.19504519402985088,0.17147151851851838,72,39,81.95525555555555,79.20313846153846,76.89352805555556,84.44466897435898,CP,CNU
17302_00044,117,21,63,58,75,59,10.897435897435898,172.5902164957265,161.6708195238095,0.2820678045977012,0.1978855454545454,59,16,81.66794237288134,80.19270625,91.73093220338983,64.75992375,CP,CNU
182725_2581_x9375_y21137,524,90,300,266,314,258,5.561068702290076,207.33664734541986,218.04038677777777,0.16706050529100525,0.14569651612903234,258,56,69.61406531007752,73.20486857142858,66.95818058139535,68.38783857142857,AIv,CTX
17545_00052,175,38,101,76,112,99,10.6,154.6515225714286,119.42057236842108,0.2935486330275229,0.23489009090909085,99,13,79.18188777777777,84.39536153846153,78.97625626262625,82.1331076923077,CP,CNU
17109_4101_x6753_y6197,265,99,183,130,181,135,4.558490566037736,439.6427241509434,223.76753559595957,0.1948016204081634,0.1546049365079365,135,46,65.87561177777776,69.28541841956522,70.93114525925927,70.24327826086957,SSs,CTX
17545_00053,164,40,94,67,110,97,10.018292682926829,150.7122732317073,118.54301949999999,0.2867349454545457,0.26516285714285714,97,13,82.96559302061854,80.55336923076923,93.0283325773196,90.45884615384615,CP,CNU
18454_00046,88,86,64,40,110,48,3.3863636363636362,67.72063772727273,124.91095860465117,0.15383635714285726,0.1766621666666668,48,62,72.31776083333334,74.34989596774194,75.85053083333334,66.25721161290322,VPM,TH
18455_00202,340,158,210,187,288,153,4.258823529411765,81.74354438235295,94.66441753164557,0.11671442021276601,0.13630601250000007,153,135,77.79444405228759,78.16348218888888,67.80668718954249,66.3978508888889,VPM,TH
pre_18864_00163,239,48,135,110,152,129,6.560669456066946,269.3032387029288,135.09275566666668,0.17399995499999987,0.19831350000000014,129,23,70.12112178294574,93.8341956521739,68.60661875968992,80.4687,SSs,CTX
18458_00492,277,68,159,142,186,135,4.64259927797834,106.69958942238266,112.48362882352941,0.1335581543209876,0.12583314285714298,135,51,70.7275883111111,76.27001490196078,70.21458740740741,78.29479215686274,VPL,TH
18455_00203,165,101,120,108,146,57,5.63030303030303,90.81839042424244,112.74984794059407,0.11800540952380956,0.12872318867924526,57,89,82.49563481754387,79.24241424719101,58.58697315789474,67.40247382022471,VPM,TH
18867_6014_x17935_y4434,904,173,556,504,521,400,3.911504424778761,116.5433592477876,171.0218498034682,0.12181387550200806,0.10647891935483877,400,121,76.81728027499999,77.26474099173554,70.271454525,67.5392379338843,RSPd,CTX
17109_2601_x9296_y24691,151,271,210,62,212,89,4.139072847682119,487.1661092715232,264.1140060885609,0.21038074482758606,0.1815887567567569,89,123,59.581173858426965,62.88036235772358,70.65479910112359,66.0697724390244,CLA,CTX
236174_4129_x16214_y10304,315,64,162,125,217,190,13.015873015873016,435.8139486349206,155.25061543750002,0.16421946875000004,0.16799736363636353,190,27,68.6696328636842,92.86071851851851,69.16682121052631,95.31197407407407,FS,CNU
18463_00032,183,70,118,98,135,85,3.3114754098360657,135.00737513661204,120.15032700000003,0.12327375886524827,0.1334012580645163,85,50,67.6180105882353,71.19859799999999,59.244274352941176,58.06568280000001,MG,TH
182725_5012_x5980_y10427,266,87,171,133,182,133,5.018796992481203,179.18334421052631,292.00025139080464,0.1828480053475936,0.22206565624999997,133,49,71.59631082706767,70.09467673469388,74.39589646616541,68.88020591836735,SSp-ll,CTX
18867_5319_x14289_y4114,557,132,321,279,368,278,3.202872531418312,64.46845784560145,22.68615940909091,0.14434116287878784,0.16029175000000018,278,90,79.90003802158273,89.787013,77.81544442446044,86.16407000000001,MOp,CTX
18458_00069,133,26,75,66,84,67,5.06015037593985,141.3232612781955,394.2941653846153,0.12103662765957457,0.12807420000000003,67,17,69.72028283582088,84.83821764705883,68.72062089552239,78.25941176470589,LGd,TH
17300_3514_x19676_y45282,114,80,97,49,97,65,4.526315789473684,464.5730447368421,77.978674125,0.24006753684210513,0.22481707692307673,65,32,66.52077292307692,72.65479375000001,68.90677461538462,85.814671875,SSs,CTX
18463_00007,107,65,80,52,92,55,2.6261682242990654,105.70789056074766,72.07159600000001,0.1640675454545455,0.2262614615384615,55,37,85.68756363636363,103.76441513513514,81.52060018181817,83.7260027027027,CP,CNU
18465_00309,340,112,202,161,250,179,5.726470588235294,127.80414335294117,222.63292714285714,0.20470526380368104,0.184962418604651,179,71,82.92532583240225,88.83365507042252,83.4832661452514,86.66509802816901,CEA,CNU
18455_00050,146,51,85,74,112,72,6.726027397260274,137.05750554794523,246.03992784313724,0.1346958288288289,0.18944703703703691,72,40,75.20986250416667,74.14668839499998,63.71506666666667,62.18739775,MG,TH
18453_3841_x9500_y7920,169,16,96,92,89,77,6.964497041420119,147.21495502958578,57.3403175625,0.18691524347826083,0.14883100000000005,77,12,74.6787044155844,74.85446666666668,74.10797818181818,71.02479999999998,SSp-m,CTX
18464_00044,239,58,141,125,156,114,5.2092050209205025,93.49711544769875,93.82238727586207,0.128003668918919,0.1803988500000001,114,42,74.45319780701755,74.59005554761904,70.39239596491228,71.09906428571428,VPM,TH
18464_00045,300,48,168,154,180,146,5.453333333333333,87.66588528333334,102.05198333333334,0.14796726315789455,0.1637023125,146,34,75.01109068493149,85.90179864705883,73.62424568493152,74.35015588235294,VPM,TH
18465_00292,274,77,158,132,193,142,4.711678832116788,102.86705076642335,96.71998896103896,0.12492398255813963,0.12426022727272712,142,51,68.94563992957745,73.64779372549019,57.03979246478873,70.15202470588235,VPM,TH
17109_2401_x9695_y9693,115,90,102,46,103,69,5.182608695652174,609.3788130434784,239.04211733333335,0.17341592293577968,0.16245538461538467,69,34,60.416300434782606,52.273534705882355,63.08497656521739,65.43970558823531,CLA,CTX
17781_6228_x12697_y8412,299,47,166,141,180,158,15.648829431438127,323.83280080267554,112.66202827659576,0.21263052822580641,0.15624000000000005,158,22,74.7221424050633,70.07498636363636,74.85755734177216,86.55371363636365,AUDp,CTX
18458_00306,140,66,101,80,105,60,3.9714285714285715,112.59021314285715,110.77245393939396,0.17939117000000016,0.16812109090909078,60,45,78.22376783333333,72.16312755555556,69.33090083333333,60.86475244444443,VPM,TH
18455_00158,348,144,204,173,288,175,5.787356321839081,112.74390522988504,143.03560510416668,0.12042746153846151,0.16026550000000006,175,113,76.70701971428572,87.97917334070796,74.17907102857143,80.52134168141592,VPMpc,TH
18455_00159,318,102,195,182,225,136,4.440251572327044,95.78442320754716,154.08439421568627,0.11391042553191477,0.13092322033898307,136,89,72.5234125,76.59579752808989,62.03993272058824,69.01410786516854,VPM,TH
