name,avg_pbnum_ratios,no_child_br_wb_ratio,one_child_br_wb_ratio,two_child_br_wb_ratio,soma_region,brain_region
17302_00125,2.5928523546170608,0.0,0.25,0.75,LP,TH
18465_00132,2.450815617948485,0.01694915254237288,0.1694915254237288,0.8135593220338984,VPM,TH
18869_3239_x6605_y6691,2.4763826149695713,0.025974025974025976,0.23376623376623376,0.7402597402597403,SSp-m,CTX
18457_00109,2.3378582195997923,0.03058103975535168,0.22324159021406728,0.746177370030581,VPM,TH
17787_7070_x12739_y1410,2.039344517380955,0.06349206349206349,0.2857142857142857,0.6507936507936508,VISpm,CTX
18465_00133,2.371009729018371,0.039647577092511016,0.14977973568281938,0.8105726872246696,VPM,TH
18457_00108,1.7475198412698412,0.056074766355140186,0.16822429906542055,0.7757009345794392,CP,CNU
18454_00126,2.2348326734315744,0.016736401673640166,0.16317991631799164,0.8200836820083682,LP,TH
18869_5108_x7688_y4065,2.344457261692556,0.04580152671755725,0.1984732824427481,0.7557251908396947,SSp-bfd,CTX
18454_00127,2.1120197870584865,0.050505050505050504,0.24242424242424243,0.7070707070707071,VPM,TH
18458_00561,2.2031229554286047,0.09333333333333334,0.2866666666666667,0.62,VPM,TH
17545_00132,1.1842105263157894,0.034482758620689655,0.3448275862068966,0.6206896551724138,CP,CNU
18864_00313,2.2470469237135906,0.02112676056338028,0.18309859154929578,0.795774647887324,SSs,CTX
