name,P1,P2,P3,P4,soma_region,brain_region
18454_00166,0.012244897959183673,0.0,0.11918367346938775,0.8685714285714285,VPL,TH
18465_00312,0.022410358565737053,0.1648406374501992,0.3904382470119522,0.42231075697211157,MG,TH
pre_18458_00369,0.20689655172413793,0.1724137931034483,0.5172413793103449,0.10344827586206896,DG,CTX
18864_4760_x3070_y21249,0.4848573092603378,0.1252184041933605,0.03640069889341875,0.35352358765288294,MOp,CTX
18455_00122,0.026150121065375304,0.0,0.05569007263922518,0.9181598062953995,VPM,TH
18869_4426_x7611_y4421,0.36292134831460676,0.20337078651685395,0.34269662921348315,0.09101123595505618,SSp-un,CTX
18453_6576_x22528_y4353,0.24380165289256198,0.5351239669421488,0.21487603305785125,0.006198347107438017,RSPv,CTX
18453_6748_x28152_y3578,0.352,0.4328888888888889,0.13422222222222221,0.08088888888888889,VISp,CTX
18457_00145,0.05548926014319809,0.0,0.11515513126491647,0.8293556085918854,VPM,TH
18465_00304,0.04322429906542056,0.0,0.3598130841121495,0.5969626168224299,VPM,TH
18454_00170,0.0,0.0,0.0,1.0,MG,TH
pre_17781_00066,0.2644199611147116,0.2851587815942968,0.2657161373946857,0.1847051198963059,AId,CTX
17781_3668_x9453_y17266,0.6450584484590861,0.25132837407013814,0.09989373007438895,0.0037194473963868225,SSp,CTX
pre_18864_00286,0.6840297653119634,0.16084716657126502,0.07212364052661706,0.08299942759015455,MOp,CTX
18455_00134,0.024584237165582067,0.1514822848879248,0.44540853217642806,0.37852494577006507,RE,TH
18867_3832_x10338_y8748,0.36524822695035464,0.0,0.14716312056737588,0.4875886524822695,SSp-m,CTX
191812_5586_x4875_y23378,0.7169726824899239,0.19480519480519481,0.017465293327362293,0.07075682937751904,SSp-bfd,CTX
18465_00241,0.04193709435846231,0.0,0.5746380429355966,0.38342486270594106,VPM,TH
18465_00168,0.17660044150110377,0.33112582781456956,0.1434878587196468,0.3487858719646799,CP,CNU
18869_4599_x7153_y3640,0.08004640371229699,0.7088167053364269,0.1740139211136891,0.037122969837587005,SSp-bfd,CTX
18464_00086,0.14828209764918626,0.24050632911392406,0.244122965641953,0.3670886075949367,CP,CNU
18454_01018,0.04394757131842714,0.0,0.008481110254433308,0.9475713184271396,VPM,TH
18455_4982_x21552_y14337,0.02384500745156483,0.0007451564828614009,0.45081967213114754,0.5245901639344263,AM,TH
18463_00062,0.0,0.016564952048823016,0.015693112467306015,0.967741935483871,MG,TH
18455_00026,0.3358208955223881,0.4136460554371002,0.06929637526652452,0.1812366737739872,CP,CNU
18454_00127,0.0,0.027874564459930314,0.5760743321718932,0.39605110336817656,VPM,TH
17545_00118,0.6576239476145931,0.09448082319925163,0.02432179607109448,0.2235734331150608,CP,CNU
18458_00250,0.08319327731092437,0.0,0.0,0.9168067226890756,LGd,TH
17781_6355_x6443_y33777,0.639589905362776,0.2555205047318612,0.04022082018927445,0.06466876971608833,CA1,CTX
18455_00163,0.06105047748976808,0.11050477489768076,0.41268758526603,0.41575716234652116,MD,TH
18869_4727_x9851_y8415,0.0,0.007205764611689352,0.8254603682946358,0.16733386709367493,RT,TH
18453_5766_x31719_y6139,0.9852941176470589,0.0,0.0,0.014705882352941176,SSs,CTX
17781_4874_x11466_y11924,0.41197321780228435,0.19948798739661283,0.14100039385584875,0.24753840094525403,SSp-bfd,CTX
17302_00045,0.5955882352941176,0.18823529411764706,0.13529411764705881,0.08088235294117647,CP,CNU
18868_4464_x5477_y11004,0.4982638888888889,0.029513888888888888,0.4157986111111111,0.05642361111111111,SSs,CTX
18454_00062,0.0351288056206089,0.02576112412177986,0.11358313817330211,0.8255269320843092,MG,TH
