id,parent_id,x,y,z,type,level,dist2soma,path_dist2soma,angle,angle_remote,angle_io1,angle_io1_remote,angle_io2,angle_io2_remote,radius,lcradius,rcradius,length,pathlength,contraction,lclength,lcpathlength,rclength,rcpathlength,width,height,depth,lslength,lspathlength,rslength,rspathlength,lstips,rstips,bnum,pbnum,lcbnum,rcbnum,dist2nb,neigborbs,interb_dist,uniform_bdist
143,127,8291.14,6123.65,8283.78,2,12,3868.39,9708.27,172.743,175.319,156.648,173.758,19.3203,4.10873,0.25,0.25,0.25,55.7127,59.0047,0.944207,78.7463,80.7814,66.1779,66.7333,125.44,44.0322,9.21582,617.291,679.973,66.1779,66.7333,5,1,1,0,2,3,19.3212,141,19.3212,59.0047
144,129,8318.98,5994.3,8295.33,2,12,3926.94,9717.92,48.513,39.4278,162.542,160.634,148.925,158.677,0.25,0.5,0.5,6.54774,6.65119,0.984445,31.8904,33.6494,106.068,121.816,14.6553,3.13623,1.66406,314.106,348.593,106.068,121.816,5,1,1,4,4,3,15.7713,223,15.7713,6.65119
145,129,8318.98,5994.3,8295.33,2,12,3926.94,9773.12,104.543,90.9113,161.191,161.994,94.209,107.037,0.25,0.25,0.375,59.486,61.8513,0.961757,45.1794,49.5496,140.723,165.871,127.104,32.7036,17.2158,45.1794,49.5496,140.723,165.871,1,1,1,4,3,7,15.7713,223,15.7713,61.8513
146,130,7977.99,6182.84,8336.85,2,12,4073.25,9944.07,74.1277,43.728,143.724,172.911,140.582,142.555,1.625,0.5,1.125,58.0864,67.4605,0.861042,7.87591,8.95541,36.3947,41.9465,110.986,55.1719,20.5117,696.277,760.023,477.553,572.893,6,3,0,13,0,2,0,0,0,0
147,130,7977.99,6182.84,8336.85,2,12,4073.25,10103.7,0,0,0,0,0,0,0.25,0,0,180.044,227.09,0.792831,0,0,0,0,391.03,163.161,32.1982,0,0,0,0,0,0,10,0,0,0,9.88244,223,18.748,22.709
148,132,7967,6241,8333,2,12,4050.87,9903.98,0,0,0,0,0,0,4,0,0,50.7699,67.685,0.750091,0,0,0,0,79,29.4863,25.5146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,132,7967,6241,8333,5,12,4050.87,9924.67,0,0,0,0,0,0,0.25,0,0,79.362,88.3753,0.898011,0,0,0,0,24.3711,162.024,19.127,0,0,0,0,0,0,6,0,0,0,10.4815,194,14.7292,14.7292
150,134,8079.68,6169.34,8316.37,2,12,4000.36,9768.08,136.601,126.595,134.235,140.491,88.8378,90.8594,2,1.75,1,4.82478,4.82518,0.999917,8.19815,8.3316,37.5292,38.6435,4.09619,4.99219,2.52832,525.813,578.852,376.86,464.739,9,3,0,0,0,2,0,0,0,0
151,134,8079.68,6169.34,8316.37,2,12,4000.36,9830.41,18.825,36.6454,159.398,176.161,153.567,146.866,0.75,0.25,0.25,62.4433,67.1592,0.929779,46.5199,54.7391,109.778,128.208,71.3198,120.344,7.94043,336.777,378.699,250.839,286.376,4,2,3,0,4,7,8.59006,235.333,17.0445,22.3864
152,135,7999.36,6161.66,8301.99,5,12,4049.76,9793.48,85.2298,48.8443,127.213,137.046,147.041,157.203,0.25,0.25,1,4.25447,4.36566,0.974532,43.4812,45.17,165.524,186.248,10.2397,2.43213,0.303711,361.186,387.474,165.524,186.248,2,1,1,2,2,7,4.36566,209,4.36566,4.36566
153,135,7999.36,6161.66,8301.99,2,12,4049.76,9825.16,134.669,84.4578,136.381,158.324,85.6651,114.879,2,1.5,1.25,33.8915,36.0474,0.940191,5.76145,5.87534,135.64,151.859,78.4639,20.6719,6.88867,723.331,787.254,135.64,151.859,4,1,0,2,1,7,0,0,0,0
154,140,8442.87,6118.96,8266.14,2,13,3766.82,9786.16,93.0967,72.3004,131.078,146.631,135.622,140.487,1.5,0.25,0.25,94.8431,132.01,0.718456,9.45655,9.51738,43.6307,51.389,91.1855,154.262,44.3379,295.204,316.173,415.108,460.819,3,2,2,0,0,4,8.82264,52.5,8.82264,66.0048
155,140,8442.87,6118.96,8266.14,2,13,3766.82,9779.25,97.9459,82.2931,135.505,143.801,122.741,99.83,2.5,2.75,0.75,93.0164,125.095,0.743564,8.83545,9.11171,103.557,115.027,167.438,117.6,32.3564,8693.1,9976.15,679.819,818.068,74,6,0,0,0,9,0,0,0,0
156,141,8453,6004,8284,2,13,3834.19,9724.93,80.9849,126.294,165.307,168.157,99.8663,58.9491,2,0.5,0.5,22.9534,24.7574,0.927135,8.22286,8.55622,79.536,83.0465,7.03223,36.1279,10.123,872.563,974.378,360.945,376.182,10,6,0,2,0,3,0,0,0,0
157,141,8453,6004,8284,2,13,3834.19,9807.02,91.0863,64.2336,160.375,160.856,92.5327,133.848,0.25,0.25,0.25,89.5528,106.844,0.838164,68.4618,81.1427,63.4674,87.3157,15.835,184,22.6201,68.4618,81.1427,63.4674,87.3157,1,1,5,2,5,1,14.7048,208.2,19.6731,21.3688
158,142,8273.66,6136.64,8300.99,2,13,3882.57,9713.58,135.587,142.787,155.32,125.566,65.359,73.9324,1.75,1.125,0.25,35.2463,35.7366,0.986282,7.74525,7.77361,7.56975,7.84543,24,7.80811,22.0156,1105.16,1213.88,7.56975,7.84543,8,1,2,1,0,1,16.6195,208.5,16.6195,17.8683
159,142,8273.66,6136.64,8300.99,2,13,3882.57,9825.13,33.0306,19.5926,163.856,151.115,130.951,139.198,0.25,0.25,0.25,127.298,147.287,0.864287,4.24903,4.29127,30.7677,33.6688,292.672,77.3916,32.084,282.39,319.517,30.7677,33.6688,2,1,3,1,1,2,24.762,203,44.5706,49.0956
160,143,8165.7,6167.68,8292.99,5,13,3931.46,9775.01,0,0,0,0,0,0,0.25,0,0,66.1779,66.7333,0.991677,0,0,0,0,152.32,56.7041,1.30762,0,0,0,0,0,0,2,0,0,0,33.3666,162,33.3666,33.3666
161,143,8165.7,6167.68,8292.99,2,13,3931.46,9789.05,50.8157,15.8329,147.557,168.997,160.343,173.875,0.25,0.25,0.5,78.7463,80.7814,0.974808,34.7956,43.2449,152.986,166.648,173.376,80.6396,5.00781,501.158,561.445,225.169,247.64,3,2,3,1,3,9,10.1338,162,13.8618,26.9271
162,144,8304.32,5997.31,8296.99,2,13,3935.25,9751.57,63.1478,31.87,150.479,166.542,146.342,159.684,0.5,1.5,0.625,31.8904,33.6494,0.947727,94.9968,167.176,36.8208,43.561,58.624,35.3281,9.00781,340.392,438.559,36.8208,43.561,4,1,4,1,2,4,7.67069,234.75,7.77395,8.41234
163,144,8304.32,5997.31,8296.99,5,13,3935.25,9839.73,0,0,0,0,0,0,0.5,0,0,106.068,121.816,0.870725,0,0,0,0,185.38,48.0479,47.7939,0,0,0,0,0,0,3,0,0,0,15.0729,252,40.6052,40.6052
164,145,8191.87,6027.01,8278.11,2,13,3979.09,9822.67,0,0,0,0,0,0,0.25,0,0,45.1794,49.5496,0.911802,0,0,0,0,76.8643,49.0244,15.1045,0,0,0,0,0,0,3,0,0,0,8.34979,99.3333,12.9305,16.5165
165,145,8191.87,6027.01,8278.11,2,13,3979.09,9938.99,0,0,0,0,0,0,0.375,0,0,140.723,165.871,0.848389,0,0,0,0,151.824,232,46.6396,0,0,0,0,0,0,7,0,0,0,13.7511,151.571,21.9111,23.6959
166,146,7867.01,6127.68,8316.34,2,13,4164.24,9953.02,83.7934,38.9946,120.405,170.566,153.866,150.436,0.5,0.25,0.25,7.87591,8.95541,0.879458,35.6621,36.902,232.762,248.477,16,9.79199,1.32812,491.301,539.493,232.762,248.477,5,1,0,10,2,16,0,0,0,0
167,146,7867.01,6127.68,8316.34,2,13,4164.24,9986.01,116.82,141.379,58.3738,62.0043,168.8,156.514,1.125,1,1.5,36.3947,41.9465,0.867645,105.645,121.247,146.165,175.646,53.5679,23.7437,18.6719,400.638,476.547,146.165,175.646,2,1,2,10,9,8,11.9731,216,11.9731,20.9733
