,prefix,region,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
270,18867_4216_x9933_y8365,SSp-m,64,64,150.0259,2490.8743,31,2.8395,0.0,1,0.4695585822016714
271,18867_4259_x9977_y8313,SSp-m,46,46,98.3892,1957.1551,22,3.9211,0.0,0,0.5055047889824866
272,18867_4296_x31171_y9797,SSp-m,123,123,331.862,9731.7865,60,12.4923,15.583609017169284,1,0.4708524689136343
273,18867_4302_x30805_y9233,SSp-m,114,114,252.3809,6821.3802,56,9.5261,11.5894429115467,1,0.5038492769666157
274,18867_4330_x29413_y7746,SSp-m,95,95,243.7921,6405.0216,46,12.8759,14.740332798142655,1,0.5015743095712136
275,18867_4336_x10280_y7972,SSp-m,62,63,177.4862,6247.4249,30,5.7772,7.437648351461638,1,0.5286779914703051
276,18867_4397_x8352_y9768,SSp-m,92,92,233.5256,9139.9905,45,10.5013,11.535520144319456,1,0.47567320881209013
277,18867_4421_x31775_y9812,SSp-m,94,94,248.5955,6952.0048,46,11.5024,15.259883780684573,1,0.5172978752853572
278,18867_4457_x7592_y10554,SSp-m,96,96,267.3574,7017.8345,47,8.8036,6.528049402386593,1,0.4528531171348414
279,18868_3207_x27726_y9448,SSp-m,139,139,386.8728,11510.549,67,10.2091,13.53227438385729,1,0.4418684748832375
280,18868_3228_x28576_y10788,SSp-m,88,88,267.2954,8170.1954,43,9.4725,10.690234141495674,1,0.4443657647753183
281,18868_3389_x28317_y9872,SSp-m,75,75,265.5368,10357.6861,36,9.5669,10.821745007160345,1,0.45102805485267256
282,18868_3453_x28753_y10380,SSp-m,99,99,295.7825,7075.1855,48,10.8889,9.993662491799483,1,0.5411411190152696
283,18868_3507_x7704_y10476,SSp-m,123,123,282.4097,9447.4661,60,12.8307,10.909290444387294,1,0.4537069821779542
284,18868_3547_x28065_y9077,SSp-m,138,142,416.2222,15572.4365,70,10.7368,14.233416525908309,1,0.43645110573274815
285,18868_3552_x28542_y9340,SSp-m,94,96,270.53,16749.5525,47,8.9843,10.041741532224371,1,0.42019705502092086
286,18868_3627_x28035_y8749,SSp-m,95,105,359.7336,11013.1664,51,11.2679,19.855290730684352,1,0.5066875479115434
287,18868_3715_x8453_y8977,SSp-m,126,128,299.0488,12459.4347,63,14.9212,17.110029485655478,1,0.466287233384454
288,18868_3781_x6715_y11703,SSp-m,105,105,276.8106,10884.1271,51,9.7044,8.326353043199642,1,0.3907159318454136
289,18868_3783_x28846_y9268,SSp-m,111,121,441.1194,27089.696,59,14.3324,19.123265019342274,1,0.39212705176940693
290,18868_3853_x29683_y10294,SSp-m,82,82,227.9066,7144.8106,40,12.2035,9.609953433810174,1,0.4814439399471174
291,18868_3875_x8707_y8341,SSp-m,77,84,291.8246,14526.4293,41,12.1334,15.805109332111561,1,0.4992723428436775
292,18868_4549_x5910_y9879,SSp-m,117,117,297.7928,7433.3451,57,12.2088,13.824366820943363,1,0.5459865259963659
293,18869_3064_x20999_y7621,SSp-m,62,62,201.9308,11505.6184,30,10.8302,11.816255159736514,1,0.45706631340015214
294,18869_3239_x6605_y6691,SSp-m,86,86,223.0535,8347.7914,42,10.9862,11.83586794451509,1,0.5004910244219426
295,18869_3263_x6927_y6229,SSp-m,113,114,346.4882,12176.1916,55,12.5591,13.552484384790866,1,0.4785730861496155
296,18869_3305_x6812_y6104,SSp-m,88,88,242.5625,8487.9154,43,10.2145,12.426761565267118,1,0.4937436564088991
297,18869_3321_x21485_y7678,SSp-m,70,70,218.0159,7014.6012,34,8.9521,7.835750697922951,1,0.48471561529351515
298,18869_3395_x6415_y6741,SSp-m,104,104,247.5385,7876.2795,51,10.0855,9.164154570935596,1,0.4758811248143709
299,18869_3398_x6248_y7047,SSp-m,112,112,300.5302,9412.6119,54,8.6955,13.174387651803777,1,0.4604761525612446
300,18869_3480_x6168_y6983,SSp-m,118,118,280.0936,8299.1746,58,10.8448,11.861400591835682,1,0.4644951129618056
301,18869_3482_x7077_y5660,SSp-m,50,51,160.5905,7656.5386,24,11.9315,11.588452096807417,0,0.5059639662520548
302,18869_3504_x6554_y5961,SSp-m,79,80,189.3336,5703.9489,39,11.3279,9.65597208985197,1,0.5572727662538682
303,18869_3506_x6250_y6810,SSp-m,108,108,326.8051,13994.7184,53,11.141,13.822404494153679,1,0.4492680175204457
304,18869_3547_x21769_y7449,SSp-m,89,90,281.6232,17349.6331,43,12.514,14.186311218918055,1,0.4277500276672576
305,18869_3590_x6132_y6798,SSp-m,109,109,266.5013,8376.4521,53,9.6654,14.002990073552162,1,0.4861116573864152
306,18869_3634_x20027_y5437,SSp-m,82,90,246.8826,6886.847,43,17.15,18.235077899477147,1,0.6366525760307381
307,18869_3634_x5750_y7170,SSp-m,87,87,217.4514,7359.3647,42,11.2934,14.664189374118157,1,0.45099852474913577
308,18869_3659_x21701_y7032,SSp-m,75,75,210.9669,7611.68,35,11.2277,10.585735827045767,1,0.49151873500587406
309,18869_3701_x5589_y7633,SSp-m,85,85,247.3031,9001.9831,41,9.9708,9.77614182589432,1,0.46103993619954464
310,18869_3741_x6284_y6163,SSp-m,85,87,210.7565,4510.2147,42,11.0862,17.696083210699467,1,0.6011780900356104
311,18869_3751_x5868_y6832,SSp-m,110,111,321.4607,8713.2675,54,14.0798,11.239379386781106,1,0.5199975860893503
312,18869_3857_x22137_y7268,SSp-m,78,78,239.2659,8470.0156,38,10.6069,9.148912066469979,1,0.45727705231840826
313,18869_3937_x5000_y8198,SSp-m,84,84,231.128,8370.5897,41,9.7777,6.486500211978729,1,0.43697659372514874
314,18869_4026_x21667_y6102,SSp-m,78,81,179.0864,3261.3276,39,15.5764,19.40037788291763,1,0.6236690347646131
315,18869_4050_x21764_y6239,SSp-m,70,88,245.155,7156.613,43,12.1152,10.44529855963916,1,0.5379206392905317
316,18869_4181_x21056_y5611,SSp-m,52,84,253.7172,6677.3548,40,18.1675,12.415756964438371,1,0.6381999690678763
317,18869_4196_x21043_y5510,SSp-m,40,64,249.5983,15619.1057,30,16.8999,11.562810255296931,0,0.5698488027100865
318,191801_4180_x7440_y5386,SSp-m,83,83,163.8885,1356.8772,40,4.5661,0.0,1,0.4855763379123572
319,191812_3494_x7001_y8336,SSp-m,8,9,28.5432,192.1788,3,16.7422,20.388188369739975,0,0.0
320,191812_3675_x8625_y6930,SSp-m,30,30,66.8302,1224.2367,14,2.3447,0.0,0,0.5103855321025649
321,191812_3915_x8011_y24180,SSp-m,70,70,191.0432,6564.7909,34,8.7178,10.682364017388675,1,0.45014679660511586
322,191812_3922_x8455_y6768,SSp-m,13,14,44.7347,578.456,6,15.0725,0.6583046407249332,0,0.7328281606360232
323,191812_4003_x5886_y22658,SSp-m,5,5,24.112,16.8199,1,5.0945,2.454657868217064,0,0.0
324,191812_4067_x7961_y6860,SSp-m,29,36,82.0624,2529.332,16,11.5597,4.176996169497879,0,0.5363286198824538
325,236174_3529_x13394_y26567,SSp-m,54,54,92.4494,1016.8532,26,3.8599,0.0,1,0.4651875597748229
326,182724_4785_x5002_y11122,SSp-ll,156,156,375.6258,5959.9392,77,11.8737,16.039165221419722,1,0.5362571635978569
