,prefix,region,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal
384,17545_00121,CP,42,42,95.7061,560.3135,17,1.1733,0.0,0,0.36607108680684214
385,17545_00122,CP,65,65,113.7151,683.4042,31,0.9609,0.0,1,0.356048223026585
386,17545_00124,CP,59,59,100.4308,561.8391,28,0.6661,0.0,1,0.4168900918168883
387,17545_00125,CP,48,48,81.6558,447.3824,22,1.0774,0.0,0,0.3428738966996608
388,17545_00126,CP,40,40,82.1119,767.9899,18,0.8261,0.0,0,0.402446688164814
389,17545_00129,CP,58,58,99.0721,489.5965,27,0.7189,0.0,1,0.40645684006491895
390,17545_00130,CP,59,59,118.2622,868.7975,27,1.5509,0.0,1,0.3811463384567546
391,17545_00131,CP,39,39,98.0739,884.1356,17,0.6576,0.0,0,0.42663745490665933
392,17545_00132,CP,55,55,114.7156,763.5346,26,0.8526,0.0,1,0.45275905507684266
393,17545_00136,CP,59,59,108.7725,438.9879,27,0.6973,0.0,1,0.44044114501129494
394,17545_00138,CP,48,48,96.2514,821.8708,23,0.6206,0.0,0,0.4470131215821468
395,17545_00140,CP,58,58,121.6255,1115.1011,27,0.5503,0.0,1,0.35725188459094204
396,17545_00143,CP,36,36,93.2996,661.2912,15,0.9364,0.0,0,0.5408417615552449
397,17545_00144,CP,43,43,87.0566,531.5348,19,1.1671,0.0,0,0.5201136647356649
398,17545_00145,CP,33,33,103.3916,974.0263,15,1.7068,0.0,0,0.49602504118745694
399,17545_00146,CP,44,44,79.4208,260.4017,21,1.1026,0.0,0,0.5367555619895684
400,17545_00147,CP,46,46,121.7364,913.4522,21,1.5665,0.0,0,0.494185529714235
401,17545_00149,CP,35,35,92.8394,913.6588,14,1.4945,0.0,0,0.47112884333654786
402,17545_00150,CP,43,43,103.2453,927.577,19,0.9475,0.0,0,0.43836519531935286
403,17545_00155,CP,53,53,105.5904,624.3693,25,0.6413,0.0,1,0.4569488544340326
404,17545_00158,CP,49,49,62.8263,162.8741,23,0.9826,0.0,0,0.4518831992911928
405,17545_00159,CP,45,45,85.8856,259.5626,21,1.1726,0.0,0,0.5839241368193143
