,region_name_r316,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cell name,formatted name,Soma_x,Soma_y,Soma_z,Registered_soma_region,Manually_corrected_soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type
1009,CP,6738,12.5664,0.17502618901224626,-0.17586580428202628,-0.15810044400415288,-0.13957241131997425,-0.4630774819535239,-0.44255132890683213,-0.30628625592606623,1.9997,-0.6101835037112134,41791.9,-0.27721549288270675,-0.383937094841089,-0.10807455458114457,0.06720561494499945,-0.010656749805651879,-0.5999648627192415,0.1872502001610911,-0.17774309245400471,0.024138114589298803,-0.1468545132817277,18457_00080,18457_4958-X8526-Y16290,6540.575,5747.75,2224.075000000001,BLA,CP,,Vipr2-IRES2-Cre-neo;Ai166_381484-18457,18457,CP_SNr
1010,VPM,6891,12.5664,-0.44827342312850854,-0.7751108150647249,-0.7796281264337335,-0.7846306580934712,0.46383959332868835,-0.07984530369417464,-0.08570166905781061,1.99971,-0.06736900641288841,42682.4,-0.5161258110447182,-0.09804459792088044,-0.1854160571328421,-0.7329489689954761,-0.6074673891129345,0.42610016568774045,-0.32601125665106134,-0.859531689578324,-0.6261820341991212,-0.8416137443626718,18464_00048,18464_5983-X9115-Y12066,7432.099999999998,3832.35,3685.775,VPM,VPM,,Vipr2-IRES2-Cre-neo;Ai166_381488-18464,18464,TH_core
1011,VPM,4723,12.5664,-0.09666084295756892,-0.5456484192729912,-0.5607521748997032,-0.5693649130863667,-0.5887752889743939,0.6260382931543801,-0.39753374939914504,1.99958,-0.44837582443646934,29340.8,-0.6209281370927192,-0.2560571610137156,-0.3509117094680866,-0.741907747917196,0.03700659314984062,-0.10245109541455677,0.13903869501223068,-0.3776673304963542,-0.3451147579523903,-0.2656077459078652,18454_01110,18454_5842-X25468-Y10272,6988.525,4107.525,3200.6,fiber tracts,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454,TH_core
1012,VPM,5638,12.5664,-1.1754544763712127,-0.3875521416249382,-0.4181208684964748,-0.451788245351832,-0.2716762721581517,0.22542397312835222,-0.23339313152942306,1.99965,-0.10256469544872304,34897.3,-0.5031099821776451,-0.27243344493600624,-0.4810640970051437,-0.7008729734074498,-0.5483078845161475,-0.467884848954623,-0.48333868875422015,-0.7742466749234254,-1.0538368080752205,-0.6248582238863949,17545_00055,17545_5226-X21384-Y15959,6793.4,3850.725,3310.775,RT,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545,TH_core
1013,SSp-n,14264,12.5664,0.7362369818915834,1.1232510040207826,1.12988233682296,1.1242439499617864,1.0268813792755913,1.585597626051862,1.0186155693423407,1.99986,1.467465575656528,88335.7,0.04391282046782928,1.0916414199265572,1.1802174218892894,0.6073811775754108,0.0038583644653034303,-0.3428429224861057,-0.15573171971436153,0.01013837988027881,0.14729176208217845,-0.10060995616757945,18453_4540_x32498_y9442,18453_4540-X32498-Y9442,6199.65,2577.25,1245.275,SSs,SSp-n,2/3,Cux2-CreERT2;Ai166_374712-18453,18453,CTX_IT
1014,CP,5389,12.5664,-1.1636715169647849,-0.6655636824785578,-0.7118132492778029,-0.7485657342272317,-0.09986516658613476,-0.5393709696253128,-0.5974441974044666,1.99963,-0.839997185198086,33233.8,-1.1198044585336422,-0.3328961713176849,-0.022198575440301672,-0.20683267232810704,-0.09883380961764046,-0.04920248072453102,0.15974901986259527,0.37998059873961354,0.5163212934988848,-0.038781001554790986,17302_00013,17302_3110-X18082-Y15784,4972.925,4085.525,2721.950000000001,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others
1015,VPL,7249,12.5664,0.3802620152013147,0.0794393581597787,0.10500289278115908,0.1282084039765921,-0.3474453019083304,-1.0222030427110913,-0.7261997835063234,1.99972,-0.318751347582589,44855.5,-0.7953096636720384,-0.5656003331545364,-0.6802844898363342,-0.19124271147601143,-0.03848654422092426,-0.28108022741452837,0.019038847143714684,-0.017047493094459517,-0.32005728358822527,0.5112063252351366,18465_00328,18465_5154-X26129-Y12014,6847.35,3765.225,3294.35,RT,VPL,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core
1016,MOp,32407,12.5664,1.419946690481537,7.010765441864393,6.940999156107273,6.8365465264907925,2.7991719504392285,3.1917337357151743,1.7070044572842873,1.99994,4.692432963848309,200638.0,1.2358170231821393,3.2932950584262923,3.7406529444951744,5.819690282338743,2.296574525201208,0.15548368199065557,2.594819333860824,2.758606440082062,2.6186506040466826,2.886315586003449,18867_5319_x14289_y4114,18867_5319-X14289-Y4114,6367.025,914.6,3888.725000000001,SSp-ll,MOp,2/3,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,
1017,SSp-bfd,8308,12.5664,-0.20612264179735612,-0.6724626833201512,-0.6769237566643449,-0.6741557439995467,0.8966494515370936,0.7096877240509198,0.7778846843587842,1.99976,0.42713498258363203,51619.9,0.08978134850543662,0.6341800482715492,0.3867651889050459,-0.907703955467954,0.04423298636718125,0.8260647062373093,0.1160662124820854,-0.008637374771529933,-0.04430522917631726,-0.4170091451658902,18453_4899_x10111_y5917,18453_4899-X10111-Y5917,6218.75,1587.9,2642.25,SSp-bfd,SSp-bfd,4,Cux2-CreERT2;Ai166_374712-18453,18453,CTX_IT
1018,CLA,3654,12.5664,-0.18167748692726932,-0.8093740971070201,-0.7936593850666319,-0.779203114874404,-1.4382038781399786,-1.0833216863517225,-0.7050297165070534,1.99945,-1.1369926227800167,22645.2,-0.2554529830693111,-1.0558933008480351,-0.8218961116962505,-0.49393321597390805,-0.6740688373608432,-0.6502560124221619,-0.5404195632341099,-0.5179534460052594,-0.46323845788689705,-0.49950195709345663,236174_3447_x12562_y10626,236174_3447-X12562-Y10626,4429.125,4750.825,2999.15,CP,CLA,,Gnb4-IRES2-CreERT2;Ai139-hyg_236174-16124,236174,Car3
